Idioms,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Sentence 1,Sentence 2,Sentence 3,Sentence 4
(as) quiet as the grave,very quiet, silent.,,,,The house is as quiet as the grave when the children are at school. ,This town is quiet as the grave now that the offices have closed. ,,
(as) safe as houses,completely safe.,,,,,The children will be as safe as houses on holiday with your parents. ,The dog will be safe as houses in the boarding kennels.,,
(as) sound as a bell,in perfect condition or health, undamaged.,,,,The doctor says the old man’s heart is as sound as a bell. ,"I thought the vase was broken when it fell, but it was sound as a bell. ",,
(as) thick as thieves,very close-knit, friendly, allied.,,,"Mary, Tom, and Sally are as thick as thieves. They go everywhere together. ",Those two families are thick as thieves. ,,
(as) thick as two short planks,very stupid.,,,,,"Jim must be as thick as two short planks, not able to understand the plans. ","Some of the children are clever, but the rest are as thick as two short planks. ",,
(as) thin as a rake,very thin, too thin.,,,,Mary’s thin as a rake since she’s been ill. ,Jean’s been on a diet and is now as thin as a rake. ,,
at a loose end,restless and unsettled, unemployed.,,,,"Just before school starts, all the children are at a loose end. ","When Tom is home at the weekends, he’s always at a loose end. ",Jane has been at a loose end ever since she lost her job.,
at a pinch,if absolutely necessary.,,,,,"At a pinch, I could come tomorrow, but it’s not really convenient. ","He could commute to work from home at a pinch, but it is a long way. ",,
at a rate of knots,very fast.,,,,,They’ll have to drive at a rate of knots to get there on time. ,They were travelling at a rate of knots when they passed us. ,,
at death’s door,near death. (Euphemistic.),,,,,I was so ill that I was at death’s door. ,"The family dog was at death’s door for three days, and then it finally died. ",,
at first glance,when first examined, at an early stage.,,,,"At first glance, the problem appeared quite simple. Later we learned just how complex it really was. ",He appeared quite healthy at first glance. ,,
at full stretch,with as much energy and strength as possible.,,,,,The police are working at full stretch to find the murderer. ,We cannot accept any more work. We are already working at full stretch. ,,
at half-mast,half-way up or down. (Primarily referring to flags. Can be used for things other than flags as a joke.),,,,,The flag was flying at half-mast because the general had died. ,We fly flags at half- mast when someone important dies. ,The little boy ran out of the house with his trousers at half-mast. ,
at large,free, uncaptured. (Usually said of criminals running loose.),,,,"At midday the day after the robbery, the thieves were still at large. ",There is a murderer at large in the city. ,,
at liberty,free, unrestrained.,,,,You’re at liberty to go anywhere you wish. ,I’m not at liberty to discuss the matter. ,,
at loggerheads (with someone),in opposition, at an impasse, in a quarrel.,,,Mr. and Mrs. Jones have been at loggerheads with each other for years. ,The two political parties were at loggerheads during the entire legislative session. ,,
at one’s wits’ end,at the limits of one’s mental resources.,,,,,I’m at my wits’ end trying to solve this problem. ,Tom could do no more to earn money. He was at his wits’ end. ,,
at sixes and sevens,disorderly, completely disorganized.,,,,Mrs. Smith is at sixes and sevens since the death of her husband. ,The house is always at sixes and sevens when Bill’s home by himself. ,,
at someone’s beck and call,always ready to obey someone.,,,,,"What makes you think I wait around here at your beck and call? I live here, too, you know! ",It was a fine hotel. There were dozens of maids and waiters at our beck and call. ,,
at the bottom of the ladder,at the lowest level of pay and status.,,,,,Most people start work at the bottom of the ladder. ,"When Ann was declared redundant, she had to start all over again at the bottom of the ladder. ",,
at the drop of a hat,immediately and without urging.,,,,,John was always ready to go fishing at the drop of a hat. ,"If you need help, just call on me. I can come at the drop of a hat. ",,
at the eleventh hour,at the last possible moment. (Biblical.),,,,,She always handed her term essays in at the eleventh hour. ,We don’t worry about death until the eleventh hour. ,,
at the end of one’s tether,at the limits of one’s endurance.,,,,,I’m at the end of my tether! I just can’t go on this way! ,These children are driving me out of my mind. I’m at the end of my tether. ,,
at the expense of someone or something,to the detriment of someone or something, to the harm or disadvantage of someone or something.,,,,He had a good laugh at the expense of his brother. ,He took employment in a better place at the expense of a larger income. ,,
at the top of one’s voice,with a very loud voice.,,,,,Bill called to Mary at the top of his voice. ,How can I work when you’re all talking at the top of your voices? ,,
avoid someone or something like the plague,to avoid someone or something totally.,,,,,What’s wrong with Bob? Everyone avoids him like the plague. ,I don’t like opera. I avoid it like the plague.,,
babe in arms,an innocent or naive person.,,,,,He’s a babe in arms when it comes to taking girls out. ,"Mary has no idea how to fight the election. Politically, she’s a babe in arms. ",,
back of beyond,the most remote place, somewhere very remote.,,,,John hardly ever comes to the city. He lives at the back of beyond. ,"Mary likes lively entertainment, but her husband likes to holiday in the back of beyond. ",,
back to the drawing-board,[it is] time to start over again," [it is] time to plan something over again, especially if it has gone wrong.",,,,The scheme didn’t work. Back to the drawing-board. ,"I failed English this term. Well, back to the old drawing-board. ",,
bag and baggage,with one’s luggage, with all one’s possessions.,,,,Sally showed up at our door bag and baggage one Sunday morning. ,"All right, if you won’t pay the rent, out with you, bag and baggage! ",,
baptism of fire,"a first experience of something, usually something difficult or unpleasant.",,,,,My son’s just had his first visit to the dentist. He stood up to the baptism of fire very well. ,Mary’s had her baptism of fire as a teacher. She had to take the worst class in the school. ,,
beard the lion in his den,to face an adversary on the adversary’s home ground.,,,,,I went to the solicitor’s office to beard the lion in his den. ,"He said he hadn’t wanted to come to my home, but it was better to beard the lion in his den.",,
beat about the bush,to avoid answering a question or discussing a subject directly, to stall, to waste time.,,,Let’s stop beating about the bush and discuss this matter. ,Stop beating about the bush and answer my question.,,
beat a (hasty) retreat,to retreat or withdraw very quickly.,,,,,We went out into the cold weather but beat a retreat to the warmth of our fire.,,,
be a thorn in someone’s side,to be a constant source of annoyance to someone.,,,,,This problem is a thorn in my side. I wish I had a solution to it. ,John was a thorn in my side for years before I finally got rid of him. ,,
bed of roses,a situation or way of life that is always happy and comfortable.,,,,,"Living with Pat can’t be a bed of roses, but her husband is always smiling. ",Being the boss isn’t exactly a bed of roses. There are so many problems to sort out. ,,
before you can say Jack Robinson,almost immediately.,,,,,"And before you could say Jack Robinson, the bird flew away. ",I’ll catch a plane and be there before you can say Jack Robinson. ,,
be getting on for something,to be close to something," to be nearly at something, such as a time, date, age, etc.",,,,It’s getting on for midnight. ,He must be getting on for fifty. ,,
beggar description,to be impossible to describe well enough to give an accurate picture, to be impossible to do justice to in words.,,,,Her cruelty to her child beggar’s description.,The soprano’s voice beggars description.,,
beg off,to ask to be released from something, to refuse an invitation.,,,,"I have an important meeting, so I’ll have to beg off. ","I wanted to go to the affair, but I had to beg off. ",,
believe it or not,to choose to believe something or not.,,,,,"Believe it or not, I just got home from work. ","I’m over fifty years old, believe it or not. ",,
bend someone’s ear,"to talk to someone at length, perhaps annoyingly.",,,,,Tom is over there bending Jane’s ear about something. ,"I’m sorry. I didn’t mean to bend your ear for an hour, but I’m upset. ",,
be old hat,to be old-fashioned, to be outmoded.,,,,That’s a silly idea. It’s old hat. ,Nobody does that anymore. That’s just old hat. ,,
beyond the shadow of a doubt,completely without doubt.,,,,,We accepted her story as true beyond the shadow of a doubt.,,,
be poles apart,"to be very different, especially in opinions or attitudes", to be far from coming to an agreement.,,,,Mr. and Mrs. Jones don’t get along well. They are poles apart.,They’ll never sign the contract because they are poles apart.,,
best bib and tucker,one’s best clothing.,,,,,I always put on my best bib and tucker on Sundays. ,"Put on your best bib and tucker, and let’s go to the city. ",,
be thankful for small mercies,"to be grateful for any small benefits or advantages one has, especially in a generally difficult situation.",,,,,"We have very little money, but we must be grateful for small mercies. At least we have enough food. ","Bob was badly injured in the accident, but at least he’s still alive. Let’s be grateful for small mercies. ",,
beyond one’s ken,outside the extent of one’s knowledge or understanding.,,,,,Why she married him is beyond our ken. ,His attitude to others is quite beyond my ken. ,,
beyond the pale,unacceptable, outlawed. (The Pale historically was the area of English government around Dublin. The people who lived outside this area were regarded as uncivilized.),,,,Your behavior is simply beyond the pale. ,"Because of Tom’s rudeness, he’s considered beyond the pale and is never asked to party anymore.",,
beyond any shadow of doubt,"completely without doubt. (Said of a fact, not a person.)",,,,,Please assure us that you are certain of the facts beyond any shadow of doubt. ,,,
beyond words,more than one can say. (Especially with grateful and thankful.),,,,,Sally was thankful beyond words at being released. ,I don’t know how to thank you. I’m grateful beyond words. ,,
bide one’s time,to wait patiently.,,,,,"I’ve been biding my time for years, just waiting for a chance like this. ",He’s not the type to just sit there and bide his time. He wants some action. ,,
bite someone’s head off,to speak sharply and angrily to someone.,,,,,There was no need to bite Mary’s head off just because she was five minutes late. ,The boss has been biting everybody’s head off since his wife left him. ,,
bite the hand that feeds one,to do harm to someone who does good things for you.,,,,,I’m your mother! How can you bite the hand that feeds you? ,It’s a real case of biting the hand that feeds her. She’s reported her stepmother to the police for shoplifting. ,,
bitter pill to swallow,an unpleasant fact that has to be accepted.,,,,,It was a bitter pill for her brother to swallow when she married his enemy. ,We found his deception a bitter pill to swallow. ,,
black sheep (of the family),a member of a family or group who is unsatisfactory or not up to the standard of the rest, the worst member of the family.,,,,Mary is the black sheep of the family. She’s always in trouble with the police. ,"The others are all in well-paid jobs, but John is unemployed. He’s the black sheep of the family. ",,
blank cheque,freedom or permission to act as one thinks necessary or wishes for. (From a signed bank cheque with the amount left blank.),,,,,He’s been given a blank cheque with regard to reorganizing the workforce. ,The manager has been given no instructions about how to train the staff. He’s just been given a blank cheque. ,,
blow hot and cold,to be changeable or uncertain (about something).,,,,,He keeps blowing hot and cold on the question of moving to the country. ,He blows hot and cold about this. I wish he’d make up his mind. ,,
blow one’s own trumpet,to boast, to praise oneself.,,,,Tom is always blowing his own trumpet. Is he really as good as he says he is? ,"I find it hard to blow my own trumpet, so no one takes any notice of me. ",,
blow the lid off (something),"to reveal something, especially wrongdoing", to make wrongdoing public.,,,,The police blew the lid off the smuggling ring. ,The journalists blew the lid off the group’s illegal activities. ,,
blow up in someone’s face,[for something] suddenly to get ruined or destroyed while seeming to go well.,,,,,All my plans blew up in my face when she broke off the engagement. ,It is terrible for your hopes of promotion to blow up in your face. ,,
blue blood,the blood [heredity] of a noble family, aristocratic ancestry.,,,,The earl refuses to allow anyone who is not of blue blood to marry his son. ,"Although Mary’s family are poor, she has blue blood in her veins. ",,
bone of contention,the subject or point of an argument, an unsettled point of disagreement.,,,,We’ve fought for so long that we’ve forgotten what the bone of contention is. ,The question of a fence between the houses has become quite a bone of contention. ,,
born with a silver spoon in one’s mouth,born with many advantages, born to a wealthy family, born to have good fortune.,,,Sally was born with a silver spoon in her mouth. ,It never rains when he goes on holiday. He was born with a silver spoon in his mouth. ,,
bow and scrape,to be very humble and subservient.,,,,,Please don’t bow and scrape. We are all equal here. ,"The shop assistant came in, bowing and scraping, and asked if he could help us. ",,
Box and Cox,"two people who keep failing to meet. (Although they both sometimes go to the same place, they are never there at the same time. From characters in a nineteenth-century play, one of whom rented a room by day, the other the same room by night.)",,,,,"Since her husband started doing nightshifts, they are Box and Cox. She leaves for work in the morning before he gets home. ","The two teachers are Box and Cox. Mr. Smith takes class on Monday and Wednesday, and Mr. Brown on Tuesday and Thursday. ",,
break new ground,to begin to do something which no one else has done, to pioneer (in an enterprise).,,,,Dr. Anderson was breaking new ground in cancer research. ,They were breaking new ground in consumer electronics. ,,
break one’s duck,to have one’s first success at something. (From a cricketing expression meaning “to begin scoring.”),,,,,At last Jim’s broken his duck. He’s got a girl to go out with him. ,"Jane has failed all her exams up until now, but she’s broken her duck by passing French. ",,
break one’s word,not to do what one said one would, not to keep one’s promise.,,,,Don’t say you’ll visit your grandmother if you can’t go. She hates for people to break their word. ,"If you break your word, she won’t trust you again. ",,
break someone’s fall,to cushion a falling person, to lessen the impact of a falling person.,,,,"When the little boy fell out of the window, the bushes broke his fall. ","The old lady slipped on the ice, but a snowbank broke her fall. ",,
break someone’s heart,to cause someone emotional pain.,,,,,It just broke my heart when Tom ran away from home. ,Sally broke John’s heart when she refused to marry him. ,,
break the ice,to start social communication and conversation.,,,,,Tom is so outgoing. He’s always the first one to break the ice at parties. ,It’s hard to break the ice at formal events. ,,
break the news (to someone),"to tell someone some important news, usually bad news.",,,,,The doctor had to break the news to Jane about her husband’s cancer. ,I hope that the doctor broke the news gently. ,,
breathe down someone’s neck,"to keep close watch on someone, causing worry and irritation"," to watch someone’s activities, especially to try to hurry something along.",,,,I can’t work with you breathing down my neck all the time. Go away. ,I will get through my life with- out your help. Stop breathing down my neck. ,,
breathe one’s last,to die, to breathe one’s last breath.,,,,Mrs. Smith breathed her last this morning. ,I’ll keep running every day until I breathe my last. ,,
bring home the bacon,to earn a salary.,,,,,I’ve got to get to work if I’m going to bring home the bacon. ,Go out and get a job so you can bring home the bacon. ,,
bring something home to someone,to cause someone to realize the truth of something.,,,,,Seeing the starving refugees on television really brings home the tragedy of their situation. ,It wasn’t until she failed her exam that the importance of studying was brought home to her. ,,
bring something to a head,to cause something to come to the point when a decision has to be made or action taken.,,,,,The latest disagreement between management and the union has brought matters to a head. There will be an all-out strike now. ,It’s a relief that things have been brought to a head. The disputes have been going on for months. ,,
bring something to light,to make something known, to discover something.,,,,The scientists brought their findings to light. ,We must bring this new evidence to light. ,,
bull in a china shop,a very clumsy person around breakable things, a thoughtless or tactless person. (China is fine crockery.),,,,"Look at Bill, as awkward as a bull in a china shop. ",Get that big dog out of my garden. It’s like a bull in a china shop. ,"Bob is so rude, a real bull in a china shop. ",
burn one’s boats,to go so far in a course of action that one cannot turn back, to do something which makes it impossible to return to one’s former position.,,,,"I don’t want to emigrate now, but I’ve rather burned my boats by giving up my job and selling my house.",,,
bury the hatchet,to stop fighting or arguing, to end old resentments.,,,,"All right, you two. Calm down and bury the hatchet. ",I wish Mr. and Mrs. Franklin would bury the hatchet. They argue all the time. ,,
burn one’s bridges,to go so far in a course of action that one cannot turn back.,,,,,"Mary would now like to marry Peter, but she burned her bridges behind her by breaking offthe engagement.",,,
burn the candle at both ends,"to exhaust oneself by doing too much, for example by working very hard during the day and also staying up very late at night.",,,,,No wonder Mary is ill. She has been burning the candle at both ends for a long time. ,You can’t keep on burning the candle at both ends. ,,
burn the midnight oil,"to stay up working, especially studying, late at night. (Refers to working by the light of an oil-lamp.)",,,,,I have to go home and burn the midnight oil tonight. ,"If you burn the midnight oil night after night, you’ll probably become ill. ",,
bush telegraph,"the informal, usually rapid spreading of news or information by word of mouth.",,,,,The bush telegraph tells me that the manager is leaving. ,How did John know that Kate was divorced? He must have heard it on the bush telegraph. ,,
business end of something,the part or end of something that actually does the work or carries out the procedure.,,,,,Keep awayfrom the business end of the electric drill in case you get hurt. ,Don’t point the business end of that gun at anyone. It might go off. ,,
busman’s holiday,leisure time spent doing something similar to what one does at work.,,,,,Tutoring pupils in the evening is too much of a busman’s holiday for our English teacher. ,It’s a bit of a busman’s holiday to ask her to be wardrobe mistress for our amateur production in the summer. She’s a professional dressmaker. ,,
buy a pig in a poke,to purchase or accept something without having seen or examined it. (Poke means “bag.”),,,,,Buying a car without test driving it is like buying a pig in a poke. ,He bought a pig in a poke when he ordered a diamond ring by mail order. ,,
buy something for a song,to buy something cheaply.,,,,,"No one else wanted it, so I bought it for a song. ","I could buy this house for a song, because it’s so ugly. ",,
by fits and starts,irregularly, unevenly, with much stopping and starting.,,,"Somehow, they got the job done, by fits and starts. ","By fits and starts, the old car finally got us to town. ",,
by leaps and bounds,rapidly, by large movements forward.,,,,Our garden is growing by leaps and bounds.,,,
in leaps and bounds,rapidly, by large movements forward.,,,,The profits of my company are increasing in leaps and bounds. ,,,
by no means,absolutely not, certainly not.,,,,I’m by no means angry with you. ,,,
by return post,"by a subsequent immediate posting (back to the sender). (A phrase indicating that an answer is expected soon, by mail.)",,,,,"Since this bill is overdue, would you kindly send us your cheque by return post? ",I answered your request by return post over a year ago. Please check your records. ,,
by the same token,in the same way, reciprocally.,,,,"Tom must be good when he comes here, and, by the same token, I expect you to behave properly when you go to his house. ","The mayor votes for his friend’s causes. By the same token, the friend votes for the mayor’s causes. ",,
by the seat of one’s pants,by sheer luck and very little skill.,,,,,I got through school by the seat of my pants. ,The jungle pilot spent most of his days flying by the seat of his pants.,,
by the skin of one’s teeth,just barely, by an amount equal to the thickness of the (imaginary) skin on one’s teeth.,,,,I got through that exam by the skin of my teeth. ,I got to the airport late and caught the plane by the skin of my teeth. ,,
by the sweat of one’s brow,by one’s efforts, by one’s hard work.,,,,Tom grew these vegetables by the sweat of his brow. ,Sally made her fortune by the sweat of her brow. ,,
by virtue of something,because of something, owing to something.,,,,She’s permitted to vote by virtue of her age. ,They are members of the club by virtue of their great wealth.,,
by word of mouth,by speaking rather than writing.,,,,,I learned about it by word of mouth. ,I need it in writing. I don’t trust things I hear about by word of mouth.,,
call a spade a spade,to call something by its right name," to speak frankly about something, even if it is unpleasant.",,,,"Well, I believe it’s time to call a spade a spade. We are just avoiding the issue.",Let’s call a spade a spade. The man is a liar.,,
call it a day,to leave work and go home, to say that a day’s work has been completed, to bring something to an end, to stop doing something.,,I’m tired. Let’s call it a day even though it’s only three o’clock. ,They’re not engaged any more. They called it a day. ,"I haven’t finished this essay, but I’m calling it a day. ",
call of nature,the need to go to the lavatory. (Humorous.),,,,,Stop the car here! I have to answer the call of nature. ,There was no interval in the meeting to take account of the call of nature. ,,
can’t hold a candle to someone,not equal to someone, unable to measure up to someone.,,,,Mary can’t hold a candle to Ann when it comes to playing the piano. ,"As for singing, John can’t hold a candle to Jane. ",,
can’t make head nor tail of someone or something,unable to understand someone or something,,,,,John is so strange. I can’t make head nor tail of him. ,Do this report again. I can’t make head nor tail of it. ,,
can’t see beyond the end of one’s nose,unaware of and uncaring for the things which might happen in the future, not far-sighted.,,,,John is a very poor planner. He can’t see beyond the end of his nose. ,Ann can’t see beyond the end of her nose. She’s taken a job without finding out if the firm is financially secure. ,,
can’t see one’s hand in front of one’s face,"unable to see very far, usually owing to darkness or fog.",,,,,It was so dark that I couldn’t see my hand in front of my face. ,Bob said that the fog was so thick he couldn’t see his hand in front of his face.,,
carry all before one,to be exceptionally successful.,,,,,He carried all before him on school prize day. ,"In the sports event, Mary just carried all before her. ",,
carry a torch for someone,to be in love with someone who does not return love, to brood over a hopeless love affair.,,,,John is carrying a torch for Jane. ,Is John still carrying a torch for his lost love? ,,
carry the weight of the world on one’s shoulders,to appear to be burdened by many problems.,,,,,Look at Tom. He seems to be carrying the weight of the world on his shoulders. ,"Cheer up, Tom! You don’t need to carry the weight of the world on your shoulders. ",,
carte blanche,"complete freedom to act or proceed as one pleases. (Literally, a white or blank card.)",,,,,We were given carte blanche to choose the color scheme. ,They were not instructed where to shop. It was a case of carte blanche. ,,
cast in the same mould,very similar.,,,,,The two sisters are cast in the same mouldequally mean. ,"All the members of that family are cast in the same mould, and all have ended up in prison. ",,
catch one’s breath,to resume one’s normal breathing after exertion, to return to normal after being busy or very active.,,,,I ran so fast that it took me ten minutes to catch my breath. ,I don’t have time to catch my breath. I have to start work immediately. ,,
catch someone on the hop,to find someone unprepared,,,,,The unexpected exam caught some of the pupils on the hop. ,The police caught the suspect on the hop and with- out an alibi. ,,
catch someone’s eye,to establish eye contact with someone, to attract someone’s attention.,,,,Try and catch the barman’s eye. ,The shiny red car caught Mary’s eye. ,,
catch the sun,to become sunburnt.,,,,,"The baby’s face is red, she’s caught the sun. ",Fair-skinned people catch the sun easily. ,,
Cat got your tongue,Why don’t you speak?,,,,,"Answer me! What’s the matter, cat got your tongue? ",Why don’t you speak up? Cat got your tongue?,,
caught over a barrel,at the mercy of someone, under the control of someone.,,,,"I’m caught over a barrel, and I have to do what he says. ",Ann will do exactly what I say. She’s caught over a barrel. ,,
cause tongues to wag,to cause people to gossip, to give people something to gossip about.,,,,The way John was looking at Mary will surely cause tongues to wag. ,The way Mary was dressed will also cause tongues to wag. ,,
champ at the bit,to be ready and anxious to do something, to be impatient. (Originally said about horses.),,,,The children were champing at the bit to get into the swimming-pool. ,The hounds were champing at the bit to begin the hunt. ,,
chance one’s arm,to do something risky or dangerous.,,,,,He certainly chanced his arm when he was rude to the boss’s wife. ,Don’t chance your arm by asking for yet another day off. ,,
change hands,[for something] to be sold. (Refers to the changing of owners.),,,,,How many times has this house changed hands in the last ten years? ,"We built this house in 1920, and it has never changed hands. ",,
change horses in mid-stream,to make major changes in an activity which has already begun, to choose someone or something else after it is too late.,,,,I’m already baking a cherry pie. I can’t bake an apple pie. It’s too late to change horses in mid-stream. ,The house is half built. It’s too late to employ a different architect. You can’t change horses in mid-stream. ,,
change someone’s tune,"to change the manner, attitude, or behavior of a person, usually from bad to good, or from rude to pleasant.",,,,,The cashier was most unpleasant until she learned that I’m a bank director. Then she changed her tune. ,"“I shall fine you £150, and perhaps that will help change your tune,” said the judge to the rude defendant. ",,
chapter and verse,detailed sources of information. (A reference to the method of referring to biblical texts.),,,,,He gave chapter and verse for his reasons for disputing that Shakespeare had written the play. ,The suspect gave chapter and verse of his associate’s activities. ,,
chapter of accidents,a series of misfortunes.,,,,,"Yesterday was just a chapter of accidents, nothing went right. ","The play rehearsal consisted of a chapter of accidents, but the opening performance was perfect. ",,
cheek by jowl,side by side, close together, in co-operation, with a concerted effort.,,The walkers had to walk cheek by jowl along the narrow streets. ,The two families lived cheek by jowl in one houseThe children worked cheek by jowl to make their mother’s birthday gift in time. ,All members of the transition team worked cheek by jowl late into the night to get the job done. ,
cheesed off,bored, depressed, annoyed.,,,He was cheesed off with his job. ,She was cheesed off when she missed the bus. ,,
cheese paring,mean, niggardly.,,,,He was too cheese paring to eat properly. ,The cheese paring old woman will not give to the poor.,,
chew the cud,"to think deeply. (From the cow’s habit of bringing food back from the first stomach into the mouth to chew it, called chewing the cud.)",,,,,I can’t decide where to go on holiday. I’ll have to chew the cud. ,He’s chewing the cud about what to do next. ,,
chilled to the marrow,very cold.,,,,,I was chilled to the marrow in that snowstorm. ,,,
chilled to the bone,very cold,,,,,The children were chilled to the bone in that unheated room.,,,
chink in one’s armour,a weakness or vulnerable point that pro- vides an opportunity for attacking or impressing someone who is otherwise invulnerable.,,,,,His love for his child is the chink in his armour. ,Jane’s insecurity is the chink in her armour. ,,
chip off the old block,a person (usually a male) who behaves in the same way as his father or resembles his father.,,,,,"John looks like his father, a real chip off the old block. ",Bill Jones is a chip off the old block. He’s a banker just like his father. ,,
chop and change,to keep changing or altering something.,,,,,The shop is always chopping and changing staff. ,The firm is constantly chopping and changing its plans. ,,
clap eyes on someone or something,"to see someone or something, perhaps for the first time", to set eyes on someone or something.,,,,I wish she had never clapped eyes on her fiancé. ,I haven’t clapped eyes on a red squirrel for years. ,,
clear the air,to get rid of doubts or hostile feelings. (Sometimes this is said about an argument or other unpleasantness. The literal meaning is also used.),,,,,All right let’s discuss this frankly. It’ll be better if we clear the air. ,Mr. and Mrs. Brown always seem to have to clear the air with a big argument before they can be sociable. ,,
climb down,to admit that one is wrong, to admit defeat.,,,,"They were sure they were in the right, but they climbed down when we proved them wrong. ",The teacher was forced to climb down and admit she had made a mistake. ,,
clip someone’s wings,to restrain someone, to reduce or put an end to someone’s privileges or freedom.,,,,"You had better learn to get home on time, or your father will clip your wings. ",My mother threatened to clip my wings if I kept staying out late. ,,
cloak-and-dagger,involving secrecy and plotting.,,,,,A great deal of cloak-and-dagger stuff goes on in political circles. ,A lot of cloak- and-dagger activity was involved in the appointment of the director. ,,
close one’s eyes to something,to ignore something, to pretend that something is not really happening.,,,,You can’t close your eyes to the hunger in the world. ,His mother closed her eyes to the fact that he was being beaten by his father. ,,
clutch at straws,to seek something which is useless or unattainable, to make a futile attempt at something.,,,,I really didn’t think that I would get the job. I was clutching at straws. ,She won’t accept that he was lost at sea. She’s still clutching at straws. ,,
cock a snook at someone,to show or express defiance or scorn at someone.,,,,,He cocked a snook at the traffic warden and tore up the ticket. ,The boy cocked a snook at the park attendant and walked on the grass.,,
cock of the walk,someone who acts in a more important manner than others in a group.,,,,,The deputy manager was cock of the walk until the new manager arrived. ,He loved acting cock of the walk and ordering everyone about. ,,
cold comfort,no comfort or consolation at all.,,,,,"She knows there are others worse off than her, but that’s cold comfort. ",It was cold comfort to the student that others had failed also. ,,
come a cropper,to have a misfortune," to fail. (Literally, to fall off one’s horse.)",,,,Bob invested all his money in the shares market just before it fell. Did he come a cropper! ,Jane was out all night before she took her exams. She really came a cropper. ,,
come away empty handed,to return without anything.,,,,,"All right go gambling if you must. Don’t come away empty handed, though.",Go to the bank and ask for the loan again. This time try not to come away empty handed.,,
come down in the world,to lose one’s social position or financial standing.,,,,,Mr. Jones has really come down in the world since he lost his job. ,"If I were unemployed, I’m certain I’d come down in the world, too. ",,
come down to earth,"to become realistic or practical, especially after a period of daydreaming", to become alert to what is going on around one.,,,,"You have very good ideas, John, but you must come down to earth. We can’t possibly afford any of your suggestions. ",Pay attention to what is going on. Come down to earth and join the discussion. ,,
come down with something,to become ill with some disease.,,,,,I’m afraid I’m coming down with a cold. ,I’ll probably come down with pneumonia. ,,
